University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
University of Cincinnati,Cincinnati,MW Program,35-NCAA D-I,Great Lakes (D1)-1,American Athletic Conference,'University of Cincinnati','Cincinnati','MW Program','35-NCAA D-I','Great Lakes (D1)-1','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Cincinnati','Cincinnati','MW Program','35-NCAA D-I','Great Lakes (D1)-1','American Athletic Conference');",
"University of Colorado, Boulder",Colorado,MW Program,35-NCAA D-I,Mountain (D1)-4,Pac-12 Conference,"'University of Colorado, Boulder'",'Colorado','MW Program','35-NCAA D-I','Mountain (D1)-4','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Colorado, Boulder','Colorado','MW Program','35-NCAA D-I','Mountain (D1)-4','Pac-12 Conference');",
University of Connecticut,Connecticut (Uconn),Womens Program,35-NCAA D-I,Northeast (D1)-5,American Athletic Conference,'University of Connecticut','Connecticut (Uconn)','Womens Program','35-NCAA D-I','Northeast (D1)-5','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Connecticut','Connecticut (Uconn)','Womens Program','35-NCAA D-I','Northeast (D1)-5','American Athletic Conference');",
University of Connecticut,Connecticut (Uconn),Mens Program,35-NCAA D-I,Northeast (D1)-5,American Athletic Conference,'University of Connecticut','Connecticut (Uconn)','Mens Program','35-NCAA D-I','Northeast (D1)-5','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Connecticut','Connecticut (Uconn)','Mens Program','35-NCAA D-I','Northeast (D1)-5','American Athletic Conference');",
University of Dayton,Dayton,Mens CC Womens Program,35-NCAA D-I,Great Lakes (D1)-1,Atlantic 10 Conference,'University of Dayton','Dayton','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Dayton','Dayton','Mens CC Womens Program','35-NCAA D-I','Great Lakes (D1)-1','Atlantic 10 Conference');",
University of Delaware,Delaware,Womens Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Colonial Athletic Association,'University of Delaware','Delaware','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Delaware','Delaware','Womens Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Colonial Athletic Association');",
University of Detroit Mercy,Detroit Mercy,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Horizon League,'University of Detroit Mercy','Detroit Mercy','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Detroit Mercy','Detroit Mercy','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Horizon League');",
University of Evansville,Evansville,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Missouri Valley Conference,'University of Evansville','Evansville','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Missouri Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Evansville','Evansville','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Missouri Valley Conference');",
University of Florida,Florida,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'University of Florida','Florida','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Florida','Florida','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
University of Georgia,Georgia,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'University of Georgia','Georgia','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Georgia','Georgia','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
